# species: Drosophila melanogaster
# support: EXP, IMP, HMP, HEP, IDA, IGI, HGI, IPI, IEP, HDA
# associations retrieved on: 2019-04-24 10:40:28-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.fb.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:16-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: flybasecgid_gene
#   coverage: 99.4%
# size of "genespace": 12880
# number of attributes: 8227
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000001	mitochondrion inheritance	CG42551 CG8862
GO:0000002	mitochondrial genome maintenance	CG10123 CG33650 CG4337 CG5924
GO:0000003	reproduction	CG10000 CG10041 CG10112 CG10128 CG10363 CG10407 CG10433 CG10586 CG10587 CG10651 CG10730 CG10852 CG10862 CG10956 CG11037 CG11131 CG11598 CG11608 CG11630 CG11664 CG11828 CG11864 CG11977 CG12558 CG1262 CG12943 CG13309 CG13340 CG1342 CG1361 CG13873 CG13965 CG14034 CG14061 CG14560 CG1462 CG14913 CG15031 CG15116 CG15117 CG15616 CG15635 CG15641 CG1652 CG1656 CG16995 CG1701 CG17011 CG17058 CG17097 CG17242 CG17271 CG17331 CG17472 CG17575 CG17673 CG17797 CG17799 CG17843 CG1787 CG17919 CG17924 CG17958 CG1803 CG18064 CG18067 CG18135 CG18233 CG18284 CG18348 CG18628 CG1865 CG18749 CG1951 CG2341 CG2665 CG2668 CG2826 CG2852 CG2975 CG30395 CG30448 CG30450 CG30463 CG30473 CG30486 CG30488 CG31016 CG31413 CG31418 CG31419 CG31493 CG31496 CG31515 CG31519 CG3153 CG31659 CG31680 CG31704 CG31779 CG31872 CG31883 CG31902 CG31941 CG32190 CG32197 CG32201 CG32203 CG32382 CG32383 CG32667 CG32833 CG32985 CG33121 CG33126 CG33259 CG33462 CG3349 CG33495 CG33530 CG3359 CG33943 CG34002 CG34033 CG34034 CG34051 CG34102 CG34103 CG34129 CG34130 CG34435 CG3640 CG3662 CG3801 CG42326 CG42459 CG42461 CG42462 CG42466 CG42468 CG42469 CG42472 CG42473 CG42474 CG42475 CG42476 CG42477 CG42478 CG42479 CG42480 CG42482 CG42483 CG42484 CG42485 CG42564 CG42602 CG42603 CG42604 CG42605 CG42606 CG42607 CG42608 CG42609 CG42823 CG43319 CG43619 CG44007 CG44008 CG4546 CG4605 CG4706 CG4815 CG4847 CG4986 CG5016 CG5162 CG5207 CG5267 CG5402 CG6071 CG6168 CG6289 CG6352 CG6426 CG6461 CG6555 CG6663 CG6690 CG6717 CG6917 CG7157 CG7304 CG7590 CG7722 CG8050 CG8093 CG8102 CG8137 CG8194 CG8420 CG8462 CG8622 CG8626 CG8982 CG9006 CG9024 CG9029 CG9074 CG9168 CG9334 CG9456 CG9471 CG9525 CG9720 CG9806 CG9975 CG9997
GO:0000018	regulation of DNA recombination	CG10473 CG12189 CG16788 CG3158 CG31989 CG6122 CG7670 CG7922 CG7948 CG8781 CG9401
GO:0000019	regulation of mitotic recombination	CG31989 CG7670 CG7922
GO:0000022	mitotic spindle elongation	CG32435 CG3265 CG5000 CG7831 CG8274 CG9774
GO:0000030	mannosyltransferase activity	CG12311 CG6097 CG9659
GO:0000038	very long-chain fatty acid metabolic process	CG16905 CG3947 CG6921 CG7864
GO:0000041	transition metal ion transport	CG10006 CG1469 CG15551 CG17723 CG2216 CG3671 CG3977 CG3994 CG4963 CG5130 CG5799 CG6817 CG7459 CG7816 CG9428 CG9430
GO:0000045	autophagosome assembly	CG14296 CG6757 CG6877 CG7986
GO:0000049	tRNA binding	CG31133
GO:0000054	ribosomal subunit export from nucleus	CG13387 CG14788 CG7686
GO:0000056	ribosomal small subunit export from nucleus	CG13387 CG7686
GO:0000060	protein import into nucleus, translocation	CG14447 CG17117 CG3772 CG8933
GO:0000070	mitotic sister chromatid segregation	CG10229 CG10583 CG10718 CG11397 CG1424 CG1569 CG1619 CG18412 CG18468 CG1911 CG32435 CG3326 CG33473 CG34438 CG4879 CG5052 CG5940 CG5977 CG6386 CG6620 CG7619 CG9748 CG9900
GO:0000075	cell cycle checkpoint	CG10042 CG10572 CG10712 CG10811 CG10851 CG10895 CG11156 CG11246 CG1135 CG1163 CG11979 CG12690 CG13745 CG13778 CG14030 CG14884 CG14999 CG15104 CG15319 CG1554 CG1569 CG15793 CG16928 CG16983 CG17161 CG17269 CG17437 CG17498 CG18041 CG18271 CG18332 CG18398 CG18729 CG1877 CG1913 CG2038 CG2072 CG2161 CG2525 CG30169 CG3018 CG3025 CG3026 CG31132 CG31196 CG31453 CG32251 CG32346 CG32417 CG3284 CG3307 CG33546 CG34407 CG3658 CG3697 CG3889 CG4003 CG4252 CG42522 CG43662 CG4488 CG4699 CG4800 CG4916 CG4978 CG5363 CG5684 CG6058 CG6535 CG6754 CG6932 CG7281 CG7347 CG7413 CG7487 CG7581 CG7626 CG7643 CG7769 CG7838 CG7855 CG7957 CG8068 CG8171 CG8233 CG8274 CG8440 CG8601 CG8609 CG8711 CG8725 CG9423 CG9476 CG9556 CG9633 CG9750 CG9797 CG9900
GO:0000076	DNA replication checkpoint	CG11156 CG14999 CG15319 CG15793 CG17161 CG32251 CG4252 CG7347 CG8171
GO:0000077	DNA damage checkpoint	CG10042 CG10572 CG10811 CG10895 CG11156 CG11246 CG1135 CG1163 CG11979 CG12690 CG13745 CG13778 CG14884 CG14999 CG15104 CG1554 CG15793 CG16928 CG16983 CG17161 CG17269 CG17437 CG18041 CG18271 CG18332 CG18398 CG1877 CG2038 CG2161 CG2525 CG3018 CG3025 CG3026 CG31132 CG31196 CG32346 CG32417 CG3284 CG3307 CG33546 CG34407 CG3658 CG3697 CG3889 CG4003 CG4252 CG42522 CG43662 CG4699 CG4800 CG4916 CG4978 CG5363 CG5684 CG6058 CG6535 CG6754 CG6932 CG7281 CG7347 CG7413 CG7487 CG7626 CG7769 CG7855 CG7957 CG8068 CG8233 CG8601 CG8609 CG8711 CG8725 CG9423 CG9556 CG9633 CG9750 CG9797
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	CG3319 CG33956 CG4488 CG7405 CG7614
GO:0000082	G1/S transition of mitotic cell cycle	CG10572 CG10800 CG1081 CG12217 CG3938 CG5363
GO:0000086	G2/M transition of mitotic cell cycle	CG1395 CG32417 CG5363
GO:0000096	sulfur amino acid metabolic process	CG32068 CG6188 CG6385 CG6829
GO:0000097	sulfur amino acid biosynthetic process	CG32068
GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	CG9045
GO:0000118	histone deacetylase complex	CG11006 CG1244 CG14220 CG15356 CG2244 CG32067 CG34422 CG3815 CG4236 CG4400 CG7379 CG7471 CG8208 CG8815 CG9088
GO:0000120	RNA polymerase I transcription factor complex	CG10496 CG18316 CG6241
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	CG10309 CG10318 CG10388 CG10488 CG10601 CG10683 CG10704 CG1071 CG1130 CG11375 CG11387 CG11450 CG11551 CG11798 CG11987 CG12029 CG12154 CG12372 CG1244 CG12442 CG12630 CG12653 CG1322 CG13316 CG13475 CG1374 CG14548 CG15119 CG15929 CG1621 CG16738 CG1689 CG17100 CG17228 CG1725 CG2047 CG2189 CG2328 CG2647 CG2762 CG3166 CG32067 CG32120 CG3234 CG32721 CG32904 CG33183 CG3340 CG3480 CG3497 CG3578 CG3696 CG3758 CG3850 CG3851 CG3856 CG3956 CG3978 CG4185 CG42277 CG4236 CG43122 CG43398 CG43860 CG4427 CG5083 CG5192 CG5249 CG5403 CG5488 CG5529 CG5799 CG5874 CG5893 CG5954 CG5994 CG6061 CG6093 CG6172 CG6376 CG6494 CG6534 CG6545 CG6634 CG6824 CG6993 CG7041 CG7413 CG7471 CG7626 CG7734 CG7807 CG7952 CG8103 CG8328 CG8333 CG8361 CG8384 CG8404 CG8704 CG9015 CG9383 CG9397 CG9648 CG9653 CG9768 CG9786 CG9984
GO:0000123	histone acetyltransferase complex	CG10042 CG10238 CG10385 CG10414 CG11290 CG1135 CG11680 CG12756 CG13379 CG13399 CG13400 CG13746 CG14514 CG15191 CG15319 CG1710 CG17358 CG17437 CG17689 CG18041 CG18290 CG1845 CG3025 CG30390 CG3069 CG3169 CG31865 CG31866 CG32343 CG3241 CG33554 CG3883 CG4003 CG4107 CG4166 CG4185 CG43663 CG4448 CG4621 CG4699 CG6121 CG6363 CG6474 CG6506 CG6546 CG6632 CG6939 CG7098 CG7776 CG8233 CG8631 CG8651 CG9200 CG9207 CG9293 CG9638 CG9696 CG9750 CG9866 CR32665 CR32777
GO:0000124	SAGA complex	CG13379 CG15191 CG17358 CG17689 CG30390 CG3069 CG3169 CG31865 CG31866 CG33554 CG3883 CG4107 CG4166 CG4448 CG6474 CG6506 CG7098 CG9638 CG9866
GO:0000126	transcription factor TFIIIB complex	CG31256 CG9305 CG9874
GO:0000132	establishment of mitotic spindle orientation	CG12047 CG1404 CG1725 CG18361 CG2671 CG42312 CG42783 CG45058 CG4527 CG5000 CG5692 CG6875 CG6998 CG7435 CG8262 CG9995
GO:0000137	Golgi cis cisterna	CG11061 CG11098 CG33206 CG33214 CG6450 CG7853 CG8339 CG8487 CG9053 CG9590
GO:0000138	Golgi trans cisterna	CG10703 CG14971 CG33214 CG3493 CG3532 CG3766 CG4840
GO:0000139	Golgi membrane	CG33206 CG33214 CG6437 CG8538
GO:0000145	exocyst	CG2095 CG3885 CG5341 CG6095 CG6159 CG7034 CG8843
GO:0000149	SNARE binding	CG10047 CG11173 CG12230 CG1599 CG17248 CG2671 CG31136 CG3139 CG40452 CG5127 CG6625 CG7452 CG8228
GO:0000151	ubiquitin ligase complex	CG10108 CG10682 CG10855 CG11963 CG12423 CG12765 CG13221 CG1401 CG14444 CG1512 CG16982 CG16983 CG16988 CG18412 CG1877 CG2508 CG2530 CG2944 CG3000 CG3060 CG32177 CG32443 CG34440 CG3571 CG3886 CG3895 CG4221 CG42616 CG4274 CG4643 CG5186 CG5595 CG8610 CG8711 CG8998 CG9198 CG9291 CG9772 CG9790 CG9949
GO:0000152	nuclear ubiquitin ligase complex	CG14444 CG18412 CG2508 CG2530 CG3000 CG3060 CG32443 CG34440 CG3886 CG3895 CG4274 CG5595 CG8610 CG9198
GO:0000153	cytoplasmic ubiquitin ligase complex	CG13221
GO:0000154	rRNA modification	CG7421
GO:0000159	protein phosphatase type 2A complex	CG31852
GO:0000165	MAPK cascade	CG11086 CG12244 CG12559 CG12919 CG16973 CG18247 CG18492 CG2248 CG2272 CG2275 CG32179 CG4353 CG44246 CG5475 CG5588 CG5680 CG7097 CG7393 CG7717 CG7850 CG8556 CG9375 CG9491 CG9738
GO:0000166	nucleotide binding	CG1403 CG1404 CG17259 CG17566 CG18582 CG2146 CG2204 CG2210 CG3157 CG32435 CG33208 CG3772 CG40129 CG4551 CG4879 CG5410 CG5651 CG6025 CG6668 CG6829 CG7595 CG7815 CG8208 CG8340 CG8705
GO:0000175	3'-5'-exoribonuclease activity	CG16940 CG2161 CG31137 CG34407 CG44248 CG5684 CG8426 CG9247
GO:0000176	nuclear exosome (RNase complex)	CG15481 CG31938 CG3931 CG4043 CG6249 CG6413 CG7292 CG8025 CG8395
GO:0000178	exosome (RNase complex)	CG15481 CG31938 CG3931 CG4043 CG6249 CG6413 CG7292 CG8025 CG8395 CG9606
GO:0000182	rDNA binding	CG8409
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	CG11184 CG11513 CG13207 CG1559 CG2253 CG32743 CG3291 CG6369 CG8954
GO:0000186	activation of MAPKK activity	CG18492 CG8250
GO:0000187	activation of MAPK activity	CG11628 CG12244 CG2272 CG4608 CG9738
GO:0000189	MAPK import into nucleus	CG7935
GO:0000209	protein polyubiquitination	CG10523 CG10640 CG11321 CG11988 CG12284 CG12537 CG15104 CG1782 CG18319 CG3241 CG3428 CG42593 CG42616 CG5788 CG5841 CG6190 CG6303 CG7425 CG8293 CG9153
GO:0000212	meiotic spindle organization	CG10346 CG10923 CG10988 CG12047 CG12165 CG12298 CG12306 CG13879 CG1404 CG1453 CG14781 CG15737 CG17566 CG1763 CG2095 CG2478 CG32038 CG33094 CG3738 CG3959 CG42551 CG43443 CG4579 CG6095 CG6176 CG6549 CG6719 CG6921 CG7004 CG7085 CG7242 CG7795 CG7831 CG8174 CG9078 CG9201 CG9703 CG9975
GO:0000217	DNA secondary structure binding	CG10670 CG6920
